video_id,comment_id,author,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id,inter-arrival-time,inter-arrival-time-seconds
KIlk4aJDHrg,UgwVvL-714aFdGentzV4AaABAg,@Zanel20,http://www.youtube.com/@Zanel20,UCtCpJMVWrFt8BIPeDHNoPhg,😊😊😊😊,2024-02-23 14:44:24+00:00,2024-02-23T14:44:24Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,0 days 09:17:58,33478.0
KIlk4aJDHrg,UgyTq4fFPdIAfaGPi8p4AaABAg,@DenorSamu,http://www.youtube.com/@DenorSamu,UC5sFg6WJcgTGJDyDQVp1fkQ,Sinto saudades  de quando o canal era antes..... Muito nostalgico💔,2024-02-23 15:49:28+00:00,2024-02-23T15:49:28Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,0 days 01:05:04,3904.0
KIlk4aJDHrg,Ugy83lA93845FjxxMHl4AaABAg,@KLSeyRandom,http://www.youtube.com/@KLSeyRandom,UC7xsH3O7BNOzKQH5sLrim9A,"Essa eu n sabia, a poção n deixa invisível por completo:0",2024-02-23 20:53:51+00:00,2024-02-23T20:53:51Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,0 days 05:04:23,18263.0
KIlk4aJDHrg,UgzMjQA7rLUbyPjSK0Z4AaABAg,@Marcodujdjfjf,http://www.youtube.com/@Marcodujdjfjf,UCic26Ep-oiZz5hXAvGNI4Dg,😊😊😊😊,2024-02-23 23:49:23+00:00,2024-02-23T23:49:23Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,0 days 02:55:32,10532.0
KIlk4aJDHrg,Ugx161Ev7jFRzdPxYO94AaABAg,@Marcodujdjfjf,http://www.youtube.com/@Marcodujdjfjf,UCic26Ep-oiZz5hXAvGNI4Dg,❤❤❤❤❤❤❤,2024-02-23 23:49:35+00:00,2024-02-23T23:49:35Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:12,12.0
KIlk4aJDHrg,Ugxh9AD4DMO4Hoq0mF14AaABAg,@bloxmine_oficial,http://www.youtube.com/@bloxmine_oficial,UCxtbROy6u5quP134zPEtcGA,"Isso e muito esquisito, huehueha",2024-02-25 15:19:08+00:00,2024-02-25T15:19:08Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,1 days 15:29:33,142173.0
KIlk4aJDHrg,UgzI0-eUbMNcRFiUxzZ4AaABAg,@éuoAkuma,http://www.youtube.com/@%C3%A9uoAkuma,UC0KnTEa2i-Spb-y9YhV7lhA,"Oi TT meu aniversário foi dia 21 desse mes, sempre te acompanho desde a epoca do minecraft suvival junto com o spok sdds de vcs❤️❤️❤️",2024-02-26 02:03:08+00:00,2024-02-26T02:03:08Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,0 days 10:44:00,38640.0
KIlk4aJDHrg,UgxmWr0K6rbYMyGnnnl4AaABAg,@Lucas975-h5x,http://www.youtube.com/@Lucas975-h5x,UCaR5Bjawn-NmCJ8JkJKBSxg,Ué mas a pessoa não fica invisível?,2024-02-28 23:41:08+00:00,2024-02-28T23:41:08Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,2 days 21:38:00,250680.0
KIlk4aJDHrg,Ugz71tEmxQ8HcBc5aEN4AaABAg,@victorychannell,http://www.youtube.com/@victorychannell,UC0tn3sMB0SfGfRDToCyjKNA,Oia o Yago ali no cantinh9,2024-03-01 22:03:32+00:00,2024-03-01T22:03:32Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,1 days 22:22:24,166944.0
KIlk4aJDHrg,UgyISB-QP2zmtiMDxwt4AaABAg,@Zoomamaco_prego,http://www.youtube.com/@Zoomamaco_prego,UCNQn6kSoFD3Dp8kcvGXe4Dw,Gato enxerga player com efeito de invisibilidade na vida real tbm kkkk,2024-03-07 07:57:54+00:00,2024-03-07T07:57:54Z,3,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,5 days 09:54:22,467662.0
KIlk4aJDHrg,UgyBJ9flnJj5iHSuBdR4AaABAg,@IanPiethroBotelho,http://www.youtube.com/@IanPiethroBotelho,UCuMafoN5Zt2GRBEfxI_3OoA,Explica isso mojang pelo amor de Deus😂😂😂😂,2024-03-23 23:10:53+00:00,2024-03-23T23:10:53Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,16 days 15:12:59,1437179.0
KIlk4aJDHrg,UgxaG8sSyDDopPsDLmN4AaABAg,@isaquinhogameplay507,http://www.youtube.com/@isaquinhogameplay507,UCjBl-VQoqy6K75-SdiOsguA,Nosaaaaaa me deu  muita esplicaçao valeu,2024-05-03 14:34:43+00:00,2024-05-03T14:34:43Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,40 days 15:23:50,3511430.0
KIlk4aJDHrg,UgzNap6_nADsSCbfrx54AaABAg,@IzabelMariadesouza,http://www.youtube.com/@IzabelMariadesouza,UCQboGC-7of-iq5opHeYhhIg,Eu sei de um que não deixa invisível quando você tá com armadura você não fica invisível a armadura mostra,2024-07-24 14:47:02+00:00,2024-07-24T14:47:02Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw,82 days 00:12:19,7085539.0
