negative,positive,neutral
0.0388262197375297,0.4437805116176605,0.5173932313919067
0.005802706349641,0.9513720870018004,0.0428251810371875
0.4213471710681915,0.1051774695515632,0.4734754562377929
0.0400590524077415,0.2581982910633087,0.7017426490783691
0.0594709888100624,0.0760893523693084,0.8644396662712097
0.0160416178405284,0.6897440552711487,0.2942143082618713
0.0421808548271656,0.2558959424495697,0.7019232511520386
0.0817787423729896,0.3320743441581726,0.586146891117096
0.0318502523005008,0.5007765889167786,0.4673731327056885
0.0084871910512447,0.957641065120697,0.0338718146085739
0.0777301639318466,0.2866385877132416,0.6356312036514282
0.0315747149288654,0.1996497213840484,0.7687755227088928
0.0332213342189788,0.4986738562583923,0.4681048095226288
0.2750541567802429,0.3228715062141418,0.4020743072032928
0.0162114389240741,0.6030361652374268,0.3807524442672729
0.3074711859226227,0.0723575577139854,0.6201712489128113
0.0398124381899833,0.3415105938911438,0.6186769604682922
0.2912181317806244,0.0731091797351837,0.6356726884841919
0.6307418346405029,0.0734399408102035,0.2958182096481323
0.0580230429768562,0.4613050520420074,0.4806718230247497
0.0546152293682098,0.1612815260887146,0.784103274345398
0.1174359321594238,0.0756084322929382,0.8069556355476379
0.8263393044471741,0.0368414260447025,0.136819303035736
0.0481900498270988,0.0852471590042114,0.8665627241134644
0.093258336186409,0.1930258572101593,0.7137157917022705
0.0388262197375297,0.4437805116176605,0.5173932313919067
0.005802706349641,0.9513720870018004,0.0428251810371875
0.4213471710681915,0.1051774695515632,0.4734754562377929
0.0400590524077415,0.2581982910633087,0.7017426490783691
0.0594709888100624,0.0760893523693084,0.8644396662712097
0.0160416178405284,0.6897440552711487,0.2942143082618713
0.0421808548271656,0.2558959424495697,0.7019232511520386
0.0817787423729896,0.3320743441581726,0.586146891117096
0.0318502523005008,0.5007765889167786,0.4673731327056885
0.0084871910512447,0.957641065120697,0.0338718146085739
0.0777301639318466,0.2866385877132416,0.6356312036514282
0.0315747149288654,0.1996497213840484,0.7687755227088928
0.0332213342189788,0.4986738562583923,0.4681048095226288
0.2750541567802429,0.3228715062141418,0.4020743072032928
0.0162114389240741,0.6030361652374268,0.3807524442672729
0.3074711859226227,0.0723575577139854,0.6201712489128113
0.0398124381899833,0.3415105938911438,0.6186769604682922
0.2912181317806244,0.0731091797351837,0.6356726884841919
0.6307418346405029,0.0734399408102035,0.2958182096481323
0.0580230429768562,0.4613050520420074,0.4806718230247497
0.0546152293682098,0.1612815260887146,0.784103274345398
0.1174359321594238,0.0756084322929382,0.8069556355476379
0.8263393044471741,0.0368414260447025,0.136819303035736
0.0481900498270988,0.0852471590042114,0.8665627241134644
0.093258336186409,0.1930258572101593,0.7137157917022705
