negative,positive,neutral,video_name
0.877258837223053,0.0297941602766513,0.0929468870162963,MATEI TODOS OS YOUTUBERS DE MINECRAFT!
0.1893520206212997,0.247772067785263,0.5628758668899536,CRIEI UM CELULAR QUE FUNCIONA NO MINECRAFT
0.1392765492200851,0.4388658404350281,0.4218576848506927,CRIEI UMA CASA SECRETA DENTRO DE UMA ILHA NO MINECRAFT
0.8492808938026428,0.0702092349529266,0.0805098712444305,Vida de MOSQUITO no Minecraft!
0.1200618892908096,0.2576984167098999,0.6222397089004517,Construi uma FÁBRICA de CORAÇÕES no Minecraft!
0.1442290097475052,0.2007787525653839,0.6549922227859497,Eu FUGI dos JOGADORES mais FORTES do Minecraft!
0.1199598088860511,0.4186789393424988,0.4613611996173858,Fiz a MAIOR PICARETA de MINÉRIO SECRETO no Minecraft!
0.309259831905365,0.1181536540389061,0.5725865364074707,Usei um CELULAR com RAIO-X no Minecraft
0.0859605520963668,0.2060192078351974,0.7080202102661133,Testei 1.000.000 de TNTS no Minecraft!
0.0908067598938942,0.075439304113388,0.8337538838386536,Villagers ZERARAM o Minecraft
0.0818847343325614,0.4010265171527862,0.517088770866394,Vida de FORMIGA no Minecraft!
0.1806637644767761,0.2539364993572235,0.565399706363678,Quantos CORAÇÕES tem os MOBS do Minecraft_
0.0202671233564615,0.8867152333259583,0.0930176377296447,24 HORAS Enganando BEBÊ como BRINQUEDO no Minecraft!
0.134534940123558,0.2911096513271332,0.5743553638458252,CHEGANDO DO OUTRO LADO DO MUNDO NO MINECRAFT
0.1182547733187675,0.2121926993131637,0.6695525050163269,Posso BEBER MOBS no Minecraft
0.2624353170394897,0.2545066177845001,0.4830580949783325,Evolui minha CASA no Minecraft
0.4238373041152954,0.2733529508113861,0.3028097450733185,EVOLUI a CASA dos YOUTUBERS no Minecraft
0.139940083026886,0.1456581056118011,0.7144018411636353,Fugi da GRANNY no Minecraft!
0.1194623783230781,0.2937377095222473,0.5867999196052551,EVOLUI COMO TRANSFORMES NO MINECRAFT
0.877258837223053,0.0297941602766513,0.0929468870162963,MATEI TODOS OS YOUTUBERS DE MINECRAFT!
0.1893520206212997,0.247772067785263,0.5628758668899536,CRIEI UM CELULAR QUE FUNCIONA NO MINECRAFT
0.1392765492200851,0.4388658404350281,0.4218576848506927,CRIEI UMA CASA SECRETA DENTRO DE UMA ILHA NO MINECRAFT
0.8492808938026428,0.0702092349529266,0.0805098712444305,Vida de MOSQUITO no Minecraft!
0.1200618892908096,0.2576984167098999,0.6222397089004517,Construi uma FÁBRICA de CORAÇÕES no Minecraft!
0.1442290097475052,0.2007787525653839,0.6549922227859497,Eu FUGI dos JOGADORES mais FORTES do Minecraft!
0.1199598088860511,0.4186789393424988,0.4613611996173858,Fiz a MAIOR PICARETA de MINÉRIO SECRETO no Minecraft!
0.309259831905365,0.1181536540389061,0.5725865364074707,Usei um CELULAR com RAIO-X no Minecraft
0.0859605520963668,0.2060192078351974,0.7080202102661133,Testei 1.000.000 de TNTS no Minecraft!
0.0908067598938942,0.075439304113388,0.8337538838386536,Villagers ZERARAM o Minecraft
0.0818847343325614,0.4010265171527862,0.517088770866394,Vida de FORMIGA no Minecraft!
0.1806637644767761,0.2539364993572235,0.565399706363678,Quantos CORAÇÕES tem os MOBS do Minecraft_
0.0202671233564615,0.8867152333259583,0.0930176377296447,24 HORAS Enganando BEBÊ como BRINQUEDO no Minecraft!
0.134534940123558,0.2911096513271332,0.5743553638458252,CHEGANDO DO OUTRO LADO DO MUNDO NO MINECRAFT
0.1182547733187675,0.2121926993131637,0.6695525050163269,Posso BEBER MOBS no Minecraft
0.2624353170394897,0.2545066177845001,0.4830580949783325,Evolui minha CASA no Minecraft
0.4238373041152954,0.2733529508113861,0.3028097450733185,EVOLUI a CASA dos YOUTUBERS no Minecraft
0.139940083026886,0.1456581056118011,0.7144018411636353,Fugi da GRANNY no Minecraft!
0.11946237832307816,0.2937377095222473,0.5867999196052551,EVOLUI COMO TRANSFORMES NO MINECRAFT
