negative,positive,neutral,video_name
0.1896306872367859,0.1040180101990699,0.7063512802124023,"Minecraft, MAS a cada LIKE eu viro um YOUTUBER"
0.4422619938850403,0.0641513466835022,0.4935865998268127,TODOS Odeiam o MARCELO no MINECRAFT
0.8184887170791626,0.0298038553446531,0.1517074257135391,A Cada XP eu fico mais RICO no MINECRAFT
0.1119471490383148,0.5329828858375549,0.3550699949264526,"MINECRAFT, mas a cada LIKE o JOGO MUDA!"
0.9544652700424194,0.0127645814791321,0.0327702276408672,Minecraft em Diferentes Idades!
0.6572700142860413,0.0623734965920448,0.2803564965724945,BATALHA DE CONSTRUÇAO de TERROR no Minecraft (medo)
0.0604658313095569,0.162858635187149,0.7766755223274231,Coloquei Sons da Vida Real no Minecraft!
0.110465221107006,0.4667578637599945,0.422776848077774,"Minecraft, MAS a cada INSCRITO a DUDA faz uma DANÇA ENGRAÇADA"
0.2175814062356948,0.3691851794719696,0.4132334589958191,MARCELO virou PAI no MINECRAFT
0.7201476693153381,0.0624366030097007,0.2174157202243805,9 Jeitos de Irritar sua Amiga Chata no Minecraft
0.40985968708992,0.1407128423452377,0.4494274258613586,MARCELO virou a BARBIE no MINECRAFT
0.6959954500198364,0.1045913845300674,0.1994130909442901,Fiz Sons do MINECRAFT na VIDA REAL!
0.0919130817055702,0.1312763690948486,0.7768105864524841,"Minecraft, MAS tudo o que eu CANTAR eu ganho!"
0.961711585521698,0.0131789296865463,0.0251095741987228,FUI DE FOFO A ASSUSTADOR no Minecraft!
0.1188476830720901,0.1352628916501999,0.7458894848823547,BATALHA DE MINIATURAS no MINECRAFT
0.8946725130081177,0.019136182963848114,0.08619129657745361,"Minecraft, mas GANHO tudo QUE DESENHAR na VIDA REAL!"
