comments_total,authors_total,comments_mean_day,comments_avg_day,comments_median_day,comments_max_day
786,559,1.1293103448275863,17.94565585672499,0.0,433
875,572,2.6276276276276276,28.962575864038726,0.0,500
858,656,0.6986970684039088,15.045665829090979,0.0,513
800,573,0.8064516129032258,15.276953441962455,0.0,432
705,539,0.4641211323238973,13.138157990745766,0.0,503
505,348,1.4387464387464388,17.538401380842068,0.0,311
1927,1498,1.269433465085639,30.13645960575661,0.0,1114
545,400,0.5898268398268398,12.085087664085833,0.0,347
849,574,0.5644946808510638,12.4274004567761,0.0,447
873,633,2.2734375,26.060498456431148,0.0,493
1125,819,0.7575757575757576,18.789060433208316,0.0,701
825,604,0.6690997566909975,14.017990316619077,0.0,433
834,594,1.7020408163265306,25.977751136477526,0.0,567
683,543,0.49636627906976744,12.985473893586432,0.0,470
687,544,1.1885813148788926,19.665770728988146,0.0,456
776,584,1.0868347338935573,22.98571470043121,0.0,611
1684,1300,1.0732950924155513,22.801446805940078,0.0,648
559,440,0.46274834437086093,9.577673727532487,0.0,289
1341,1012,0.861271676300578,22.307589672432677,0.0,855
587,436,0.488759367194005,10.21633080952,0.0,301
452,357,1.1832460732984293,19.756468276976634,0.0,385
813,600,0.5362796833773087,14.304445629382835,0.0,546
675,510,1.3803680981595092,21.980862183345817,0.0,476
1027,793,0.8452674897119341,17.76760352434753,0.0,533
871,655,0.9168421052631579,22.85964022550512,0.0,695
716,556,1.1492776886035314,24.180827261152533,0.0,599
840,572,0.8860759493670886,17.700837182503278,0.0,494
853,654,0.5775220040622884,16.699203479100596,0.0,634
993,690,1.7891891891891891,31.211064846236564,0.0,719
1098,861,1.4485488126649078,25.47144627165888,0.0,665
719,549,0.8610778443113772,19.44505525568932,0.0,556
611,468,1.458233890214797,25.477075683644323,0.0,520
997,694,0.6624584717607973,17.112513480553076,0.0,651
784,582,1.2385466034755135,23.32614723266016,0.0,581
655,501,0.9225352112676056,16.474741937688336,0.0,407
1242,957,1.5544430538172715,31.06895439142408,0.0,860
834,633,1.908466819221968,28.148783060402092,0.0,566
1873,1321,1.3378571428571429,33.25261461202245,0.0,1218
849,582,0.5697986577181208,16.794480067524574,0.0,643
1399,1010,1.4664570230607967,26.630529991403098,0.0,673
1000,786,0.6531678641410843,9.997020214078399,0.0,373
875,641,1.06318347509113,19.723475041483887,0.0,557
1395,1055,1.5016146393972012,29.17320170672333,0.0,885
1320,1046,0.7432432432432432,16.087278132139055,0.0,486
7431,5829,4.082967032967033,72.41346553019245,0.0,2607
4713,3806,2.543443065299514,44.433327591818745,0.0,1408
2682,1115,1.5954788816180845,36.73331274553939,0.0,1230
1909,1416,1.2924847664184158,26.469131770950327,0.0,724
2529,2009,1.3895604395604395,32.952835851877566,0.0,1052
1252,1014,0.8706536856745479,19.0098304713125,0.0,592
5262,4153,3.974320241691843,54.715433193433995,0.0,1525
1757,1340,1.1350129198966408,24.60168511184613,0.0,692
1537,1287,1.2840434419381788,26.68469782512401,0.0,723
1091,903,0.6548619447779112,16.04446796635126,0.0,592
2460,1886,1.3538800220143092,23.086857818571513,0.0,835
