,video_id,video_length,proporcao_analise,video_comments,comments_authors_total,comments_roberta_proportion,video_length_seconds,video_comments_norm,comments_authors_total_norm,video_length_seconds_norm
0,MCi9l-ojkzM,PT10M58S,0.7006451237284711,51,40,20.0,658,0.03650793650793651,0.03991596638655462,0.19844105228970443
1,5aKv8iWvk60,PT49S,0.5350927616551877,28,21,5.0,49,0.0,0.0,0.0006495615459564778
2,GpUxF8PFbyY,PT19M59S,0.6495458965375656,658,497,12.142857142857142,1199,1.0,1.0,0.37414745047093206
3,7WIuLFjkCbc,PT18M30S,0.7893098218469992,209,170,4.6,1110,0.287301587 3015873,0.3130252100840336,0.34524196167586874
4,ReOnwqKR080,PT18M19S,0.9175139264042967,111,72,6.0,1099,0.13174603174603175,0.10714285714285714,0.34166937317310814
5,eosaSYclmus,PT19M4S,0.6094152753310107,291,266,47.0,1144,0.4174603174603175,0.5147058823529412,0.3562845079571289
6,1JEZd97UBrs,PT17M20S,0.6664475888868802,86,57,1.8571428571428572,1040,0.09206349206349204,0.07563025210084033,0.322507307567392
7,Uf5Dy4wsF-M,PT47S,0.7710314607263916,118,96,2.2857142857142856,47,0.14285714285714285,0.15756302521008403,0.0
8,PKMp0deSdCo,PT46M19S,0.9513899296714441,208,162,14.5,2779,0.2857142857142857,0.296218487394958,0.8873010717765508
9,U9_uvbz61VY,PT14M,0.8901106457191801,154,113,4.0,840,0.19999999999999998,0.19327731092436973,0.257551152971744
10,Foqju7HU8t0,PT17M8S,0.8255861545229268,380,300,63.0,1028,0.5587301587301587,0.5861344537815126,0.31860993829165307
11,geU8M_3EBbY,PT14M38S,0.6344135408728742,304,268,14.0,878,0.4380952380952381,0.5189075630252101,0.2698928223449171
12,7w2HYQ1AwZI,PT18M39S,0.7202555451669427,177,106,7.166666666666667,1119,0.2365079365079365,0.17857142857142855,0.3481649886326729
13,B1WoVXb2tVA,PT20M21S,0.7858488511464863,485,416,48.5,1221,0.7253968253968255,0.8298319327731093,0.38129262747645337
14,jIuUf4o3e2A,PT10M23S,0.5785374616275032,415,369,49.5,623,0.6142857142857143,0.73109243697479,0.18707372523546606
15,sEI4lcgmHOI,PT18M15S,0.6013252378187317,190,171,41.0,1095,0.2571428571428571,0.31512605042016806,0.34037025008119515
16,pzP64QJv-MI,PT18M,0.5468776900297405,179,146,30.0,1080,0.23968253968253966,0.2626050420168067,0.33549853848652156
17,trQMLT5DLnE,PT13M52S,0.9935679891736126,42,37,inf,832,0.02222222222222222,0.033613445378151266,0.2549529067879181
18,RnDW_BRuodk,PT52M6S,0.9302329883583816,160,113,23.0,3126,0.2095238095238095,0.19327731092436973,0.9999999999999999
19,WVfud7wX1Sc,PT19M4S,1.0896294339262054,241,155,17.5,1144,0.33809523809523806,0.2815126050420168,0.3562845079571289
20,r9mX6fP11XA,PT15M2S,0.8604884937083632,304,243,24.5,902,0.4380952380952381,0.4663865546218487,0.2776875608963949
21,O32x5wTpfmI,PT15M28S,0.5395888984202377,225,174,11.5,928,0.3126984126984127,0.3214285714285714,0.28613186099382915
22,_1J04gOt5pU,PT16M13S,0.6386853819056392,80,55,8.5,973,0.08253968253968252,0.07142857142857142,0.3007469957778499
23,66Xg1GkJjdg,PT14M8S,0.6727559801079981,183,162,11.333333333333334,848,0.24603174603174605,0.296218487394958,0.26014939915556995
24,PGefMk7DoPY,PT12M25S,0.6571638973167351,83,62,7.0,745,0.0873015873015873,0.08613445378151259,0.2266969795388113
