comments_total,authors_total,comments_mean_day,comments_avg_day,comments_median_day,comments_max_day
786,559,1.1293103448275863,17.94565585672499,0.0,433
875,572,2.6276276276276276,28.962575864038726,0.0,500
858,656,0.6986970684039088,15.045665829090979,0.0,513
800,573,0.8064516129032258,15.276953441962455,0.0,432
705,539,0.4641211323238973,13.138157990745766,0.0,503
505,348,1.4387464387464388,17.538401380842068,0.0,311
1928,1499,1.2687747035573123,30.133895223574807,0.0,1114
545,400,0.5898268398268398,12.085087664085833,0.0,347
849,574,0.5644946808510638,12.4274004567761,0.0,447
873,633,2.2734375,26.060498456431148,0.0,493
1125,819,0.7575757575757576,18.789060433208316,0.0,701
825,604,0.6690997566909975,14.017990316619077,0.0,433
