id,seek,start,end,text,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0.0,2.7600000000000002," Galera, essa minha casa aqui no Minecraft.",0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
1,0,2.7600000000000002,5.36, A minha casa tá de terra porque tem alguém me roubando.,0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
2,0,5.36,7.58," Todas as vezes que eu saio para pegar de amante,",0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
3,0,7.58,9.34, só me alguma coisa da minha casa.,0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
4,0,9.34,12.08," E por isso eu decidi proteger os meus diamantes,",0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
5,0,12.08,13.88, comprando esse ball com o senha.,0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
6,0,13.88,17.92, E também vou colocar algumas câmeras da minha casa para obcevar que é calbando.,0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
7,0,17.92,19.240000000000002," E não, vou ficar pobre!",0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
8,0,19.240000000000002,20.78, E eu acho que eu já tô.,0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
9,0,20.78,24.52, Mas agora eu preciso mostrar para vocês aonde é que tal de viamento.,0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
10,0,24.52,26.8," Eu peço tudo como flado, Galera, eu leço isso.",0.0,-0.5211447715759278,1.6507936507936507,0.05081494152545929
11,2680,26.8,30.7," Eu cato tudo muito secreto, ninguém pode saber que meu diamante se estou aqui.",0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
12,2680,30.7,33.64," A traide esse quadro de burila, eu tenho um ball,",0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
13,2680,33.64,35.260000000000005, mas ele também dá como flado.,0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
14,2680,35.260000000000005,38.28, Eu tinha 64 diamantes e agora só tenho 18.,0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
15,2680,38.28,42.32," E é por isso que eu vou fazer agora, o meu ball virão ball com senha.",0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
16,2680,42.32,44.36, Agora ninguém vai descobrir minha senha.,0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
17,2680,44.36,46.24, Olha que a coisa que eu preciso é de uma senha.,0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
18,2680,46.24,48.96," Acho que eu vou botar o 2, 3, 4.",0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
19,2680,48.96,51.44," Mas é uma boa senha, mas pelo menos já eu uma coisa.",0.0,-0.42174131220037286,1.729559748427673,0.04602259397506714
