Ferramenta,Média,Mediana,Desvio Padrão,Qtd NT,Qtd GZ,Qtd T,Prop. NT,Prop. GZ,Prop. T
Detoxify,0.1875,0.0768,0.2386,27138,10607,1485,69.18%,27.04%,3.79%
Perspective,0.2496,0.2546,0.1099,12458,23849,2923,31.76%,60.79%,7.45%
