comments_total,authors_total,comments_mean_day,comments_avg_day,comments_median_day,comments_max_day
19,17,0.0815450643776824,0.7235289587918706,0.0,10
54,43,0.1569767441860465,1.3633298882872187,0.0,22
26,18,0.11926605504587157,0.999767444315626,0.0,13
37,32,0.2803030303030303,1.5644641252117981,0.0,14
64,58,0.2318840579710145,1.5029176718392616,0.0,23
20,18,0.19801980198019803,1.1663601671884896,0.0,11
50,43,0.10775862068965517,0.8003941644590105,0.0,13
39,31,0.21787709497206703,0.9495794258160222,0.0,10
20,19,2.857142857142857,5.398412465054624,1.0,15
46,34,0.22885572139303484,2.2885286067863784,0.0,32
33,30,0.15789473684210525,1.159802440247846,0.0,16
114,109,0.24358974358974358,1.3508905534616984,0.0,21
24,24,1.5,3.8987177379235853,0.0,15
130,120,0.5439330543933054,2.073531375515537,0.0,23
35,32,0.08393285371702638,0.8688829451678833,0.0,17
35,31,0.07510729613733906,0.579898479500763,0.0,8
37,29,0.12627986348122866,0.9798092578059125,0.0,15
56,42,0.12121212121212122,1.2748290015161066,0.0,25
70,64,0.1483050847457627,0.9921332225836068,0.0,19
