Ranking,Canal,Inscritos,Views,Vídeos
1,Robin Hood Gamer,21.9M,11.51B,4.53K
2,AuthenticGames,20.1M,8.98B,4.84K
3,NOBRU,16.2M,639.88M,1.01K
4,Tales Bento,15.9M,4.31B,89
5,TazerCraft,15.2M,6.23B,4.18K
6,PlayHard,14.5M,2.51B,2.56K
7,Cadres,14.4M,5.66B,2.35K
8,LipaoGamer,13.3M,4.85B,12.7K
9,Canal Clash War,13.2M,2.68B,3.53K
10,Piuzinho,12.8M,1.14B,616
11,Marulho,12.4M,6.52B,1.18K
12,Games EduUu,12.3M,3.62B,1.1K
13,Athos,11.7M,4.76B,2.55K
14,Julia MineGirl,11.5M,8.79B,2.59K
15,JP Plays,11.2M,4.73B,3.97K
16,BETO GAMER,10.8M,3.96B,4.26K
17,Marcelodrv,10.5M,2.39B,1.2K
18,Geleia,10.4M,3.3B,2.16K
19,ProbIems,10.4M,6.7B,4.03K
20,Garena Free Fire Brasil,9.91M,1.18B,2.25K
21,BRKsEDU,9.72M,2.33B,5.2K
22,Papile,8.82M,1.09B,2.22K
23,LORENA TAUANA,8.79M,1.96B,2.56K
24,MoonKase,8.52M,4.02B,7.18K
25,Gameplayrj,8.43M,3.92B,21.65K
26,alanzoka,8.42M,1.98B,3.65K
27,Talking Tom & Friends Brasil,7.86M,3.27B,874
28,IR GAMES,7.84M,3.67B,2.25K
29,CEROL,7.79M,736.76M,1.25K
30,Net Jogos Online,7.59M,30.76M,381
31,GabrielGF,7.56M,333.55M,6.75K
32,Minguado,7.5M,2.23B,1.29K
33,Belgas TV,7.49M,1.22B,2.05K
34,Paulinho e Toquinho,7.24M,2.23B,472
35,Flakes Power,7.21M,1.57B,1.76K
36,Bauers,7.09M,1.73B,1.64K
37,Tex HS,6.87M,3.37B,2.77K
38,BelotoPlays,6.74M,402.38M,915
39,Skorpion Gamer,6.71M,2.32B,3.62K
40,PAULINHO O LOKO,6.58M,2.11B,1.07K
41,Amy Scarlet,6.53M,1.77B,861
42,Lucas Clash ON,6.47M,1.72B,2.79K
43,Gelli Clash,6.36M,1.1B,2.44K
44,viniccius13,6.26M,1.01B,541
45,jvnq,6.13M,2.57B,8.8K
46,Italianinho,5.96M,556.17M,16.58K
47,Luluca Games,5.84M,2.07B,1.28K
48,Cronos,5.74M,884.16M,3.78K
49,Lulu Plays,5.71M,1.59B,233
50,LOUD THURZIN,5.67M,522.23M,507
51,HeyDavi,5.66M,785.89M,366
52,Manteiga,5.64M,682.88M,683
53,RD Gameplay,5.6M,1.08B,2.93K
54,meu nome é david,5.45M,1.07B,1.07K
55,leozlinski,5.39M,469.58M,669
56,BaixaMemoria,5.37M,686.25M,2.98K
57,Ladinzera,5.27M,68.32M,148
58,Nicole Maffi,5.24M,1.14B,2.42K
59,funBABE,5.07M,1.01B,1.66K
60,Cherryrar,5M,1B,2.1K
61,Febatista,4.96M,1.82B,6.87K
62,Final Level,4.93M,831.98M,1.34K
63,Amargo,4.84M,192.12M,598
64,BAK,4.79M,406.96M,834
65,Mundo Gamer Brasil,4.76M,9.53M,329
66,Inemafoo,4.74M,1.56B,10.02K
67,Vitória MineBlox,4.73M,2.56B,1.15K
68,Zaze Blox,4.71M,1.23B,501
69,Heloisy Bello,4.7M,2.78B,644
70,Crusher Fooxi,4.62M,346.62M,1.59K
71,Taspio,4.62M,1.48B,1.28K
72,Bird Ninja,4.58M,474.96M,808
73,KingOfYouTube,4.57M,669.68M,3.75K
74,Lokis,4.56M,3.51B,2.32K
75,Feh,4.56M,3.2B,984
76,QZL,4.52M,153.53M,922
77,Pabllym,4.43M,206.67M,901
78,DudaBlox,4.32M,74.59M,396
79,Tzy Games,4.31M,53.42M,528
80,AssopraFitas,4.29M,715.5M,1.67K
81,MuuhPro,4.28M,951.27M,2.72K
82,PIZÃO,4.22M,703.94M,990
83,EduKof,4.21M,637.73M,2.69K
84,Zangado,4.18M,513.82M,1.29K
85,JW GAMES,4.14M,321.25M,438
86,Licy Games,4.08M,1.18B,5.33K
87,Lanioso,4.05M,74.13M,90
88,Rick Marin,4.04M,918.87M,2.18K
89,Jado Paródias,4.03M,2.6B,3.43K
90,Mr.Wilton,4.01M,990.26M,525
91,Cortes Da Sofia Tube,3.98M,3.12B,4.41K
92,Godenot,3.97M,1.5B,7.74K
93,Lives do alanzoka,3.86M,1.7B,3.49K
94,Tonigon,3.79M,788.03M,437
95,LOS GRANDES,3.77M,346.06M,541
96,Gabriel e Shirley - Games,3.74M,2.12B,1.26K
97,GonGon,3.7M,856.58M,1.18K
98,YouANDi Games,3.59M,1.22B,4.04K
99,Onerb,3.47M,407.86M,619
100,Apelapato999,3.46M,239.47M,379
