Ranking,Canal,Inscritos,Views,Vídeos, Video3Meses, PorcentagemMineMes,FrequenciaMes,
1,Robin Hood Gamer,21.9M,11.51B,4.53K,True,1.0,15
2,AuthenticGames,20.1M,8.98B,4.84K,True,1.0,3
7,Cadres,14.4M,5.66B,2.35K,True,1.0,25
13,Athos,11.7M,4.76B,2.55K,True,1.0,33
15,JP Plays,11.2M,4.73B,3.97K,True,0.71428571428,9
17,Marcelodrv,10.5M,2.39B,1.2K,True,1.0,7
18,Geleia,10.4M,3.3B,2.16K,True,0.94117647058,17
19,ProbIems,10.4M,6.7B,4.03K,True,1.0,33
24,MoonKase,8.52M,4.02B,7.18K,True,0.86206896551,58
44,viniccius13,6.26M,1.01B,541,True,1.0,2
51,HeyDavi,5.66M,785.89M,366,True,1.0,5

Pesquisa-organica,Kass e KR,1.98M,566.89M,1.5k,True,1.0
